model,setting,accuracy,precision,recall,f1
bagging_tree,default_0.50,0.8005677785663591,0.6555183946488294,0.5240641711229946,0.5824665676077266
bagging_tree,tuned_0.380,0.7885024840312278,0.5826086956521739,0.7165775401069518,0.6426858513189448
