model,cv_accuracy_mean,cv_f1_mean,cv_roc_auc_mean
bagging_tree,0.8052893148739795,0.5828680038666605,0.8546038988663093
stacking,0.807596734114306,0.5817753385650185,0.8529213497283252
voting_hard,0.7999645012424565,0.5600120745421218,
voting_soft,0.7896698615548455,0.5332103627208093,0.828178387768563
adaboost,0.7346467873624424,0.0,0.8371026055267667
